Replicate.Name,Compound.Name,Retention.Time,Area,Height,Background,Molecule.List,Precursor.Ion.Name,Sal
240108_Smp_30ppt_Blk,(3-Carboxypropyl)trimethylammonium,10.1,48172,35893,0,S,Smp,30
240108_Smp_35ppt_A,(3-Carboxypropyl)trimethylammonium,10.08,55942,59364,0,S,Smp,35
240108_Smp_35ppt_B,(3-Carboxypropyl)trimethylammonium,10.17,72118,53662,0,S,Smp,35
240108_Smp_35ppt_Blk,(3-Carboxypropyl)trimethylammonium,10.13,63660,57553,0,S,Smp,35
240108_Smp_40ppt_A,(3-Carboxypropyl)trimethylammonium,10.07,69775,58118,0,S,Smp,40
240108_Smp_40ppt_B,(3-Carboxypropyl)trimethylammonium,10.09,116029,43066,0,S,Smp,40
240108_Smp_40ppt_Blk,(3-Carboxypropyl)trimethylammonium,10.29,471330,110814,0,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,(R)-2-(Methylamino)pentanedioic acid,10.55,1225203968,93855408,15306614,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,(R)-2-(Methylamino)pentanedioic acid,10.26,2057224448,188294560,13455095,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,(R)-2-(Methylamino)pentanedioic acid,10.54,1146881792,93365648,9719441,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,(R)-2-(Methylamino)pentanedioic acid,10.28,2285247744,205344080,32131696,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,(R)-2-(Methylamino)pentanedioic acid,10.49,780380288,64144676,14606691,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,(R)-2-(Methylamino)pentanedioic acid,10.41,766064640,75941832,12728896,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,(R)-2-(Methylamino)pentanedioic acid,10.49,583391616,59937244,9324396,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,(R)-2-(Methylamino)pentanedioic acid,10.42,758554688,75735864,15122022,S,Std,NA
240108_Std_H2OinSynMatrix_1,(R)-2-(Methylamino)pentanedioic acid,10.49,1732680,181846,0,S,Std,NA
240108_Std_H2OinSynMatrix_2,(R)-2-(Methylamino)pentanedioic acid,10.43,2703675,290756,0,S,Std,NA
240108_Poo_Syn_Full1,(R)-2-(Methylamino)pentanedioic acid,10.63,1472069,244271,0,S,Poo,NA
240108_Poo_Syn_Full2,(R)-2-(Methylamino)pentanedioic acid,10.6,1344071,167490,0,S,Poo,NA
240108_Poo_Syn_Full3,(R)-2-(Methylamino)pentanedioic acid,10.58,1911133,180242,0,S,Poo,NA
240108_Poo_Syn_Half1,(R)-2-(Methylamino)pentanedioic acid,10.49,2514478,263112,0,S,Poo,NA
240108_Poo_Syn_Half2,(R)-2-(Methylamino)pentanedioic acid,10.48,2122025,230370,0,S,Poo,NA
240108_Poo_Syn_Half3,(R)-2-(Methylamino)pentanedioic acid,10.39,2589734,260502,0,S,Poo,NA
240108_Smp_25ppt_A,(R)-2-(Methylamino)pentanedioic acid,10.65,1243038,189380,0,S,Smp,25
240108_Smp_25ppt_B,(R)-2-(Methylamino)pentanedioic acid,10.64,2021805,284299,0,S,Smp,25
240108_Smp_25ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,10.75,153360,33313,0,S,Smp,25
240108_Smp_30ppt_A,(R)-2-(Methylamino)pentanedioic acid,10.58,1772923,309823,0,S,Smp,30
240108_Smp_30ppt_B,(R)-2-(Methylamino)pentanedioic acid,10.62,2212533,260247,0,S,Smp,30
240108_Smp_30ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,10.37,0,0,0,S,Smp,30
240108_Smp_35ppt_A,(R)-2-(Methylamino)pentanedioic acid,10.6,4290374,346723,0,S,Smp,35
240108_Smp_35ppt_B,(R)-2-(Methylamino)pentanedioic acid,10.57,2973288,329890,0,S,Smp,35
240108_Smp_35ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,10.36,0,0,0,S,Smp,35
240108_Smp_40ppt_A,(R)-2-(Methylamino)pentanedioic acid,10.67,1152462,172300,0,S,Smp,40
240108_Smp_40ppt_B,(R)-2-(Methylamino)pentanedioic acid,10.65,1542637,215372,0,S,Smp,40
240108_Smp_40ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,10.44,0,0,0,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,"2,3-Pyridinedicarboxylic acid",12.13,38522,19229,0,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,"2,3-Pyridinedicarboxylic acid",12.38,0,0,0,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,"2,3-Pyridinedicarboxylic acid",12.29,273727360,11857917,0,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,"2,3-Pyridinedicarboxylic acid",12.5,318519040,10564937,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,"2,3-Pyridinedicarboxylic acid",12.52,335376,53054,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,"2,3-Pyridinedicarboxylic acid",12.61,572077,56874,0,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,"2,3-Pyridinedicarboxylic acid",12.52,276328544,8771980,0,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,"2,3-Pyridinedicarboxylic acid",12.72,379326112,14363610,3714357,S,Std,NA
240108_Std_H2OinSynMatrix_1,"2,3-Pyridinedicarboxylic acid",12.59,205984,46007,0,S,Std,NA
240108_Std_H2OinSynMatrix_2,"2,3-Pyridinedicarboxylic acid",12.73,829880,73100,0,S,Std,NA
240108_Poo_Syn_Full1,"2,3-Pyridinedicarboxylic acid",12.74,1072738,73055,0,S,Poo,NA
240108_Poo_Syn_Full2,"2,3-Pyridinedicarboxylic acid",12.62,417405,59181,0,S,Poo,NA
240108_Poo_Syn_Full3,"2,3-Pyridinedicarboxylic acid",12.75,1609440,86710,0,S,Poo,NA
240108_Poo_Syn_Half1,"2,3-Pyridinedicarboxylic acid",12.51,284672,61862,0,S,Poo,NA
240108_Poo_Syn_Half2,"2,3-Pyridinedicarboxylic acid",12.58,262272,42006,0,S,Poo,NA
240108_Poo_Syn_Half3,"2,3-Pyridinedicarboxylic acid",12.95,433418,36847,0,S,Poo,NA
240108_Smp_25ppt_A,"2,3-Pyridinedicarboxylic acid",12.58,726882,70783,0,S,Smp,25
240108_Smp_25ppt_B,"2,3-Pyridinedicarboxylic acid",12.52,1089148,76770,0,S,Smp,25
240108_Smp_25ppt_Blk,"2,3-Pyridinedicarboxylic acid",12.54,1166222,65563,0,S,Smp,25
240108_Smp_30ppt_A,"2,3-Pyridinedicarboxylic acid",12.58,724183,63009,0,S,Smp,30
240108_Smp_30ppt_B,"2,3-Pyridinedicarboxylic acid",12.45,445596,62612,0,S,Smp,30
240108_Smp_30ppt_Blk,"2,3-Pyridinedicarboxylic acid",12.62,2009808,114523,0,S,Smp,30
240108_Smp_35ppt_A,"2,3-Pyridinedicarboxylic acid",12.77,614423,63339,0,S,Smp,35
240108_Smp_35ppt_B,"2,3-Pyridinedicarboxylic acid",12.71,1279342,78787,0,S,Smp,35
240108_Smp_35ppt_Blk,"2,3-Pyridinedicarboxylic acid",12.69,4389913,209698,0,S,Smp,35
240108_Smp_40ppt_A,"2,3-Pyridinedicarboxylic acid",12.75,145503,44899,0,S,Smp,40
240108_Smp_40ppt_B,"2,3-Pyridinedicarboxylic acid",12.67,479650,49165,0,S,Smp,40
240108_Smp_40ppt_Blk,"2,3-Pyridinedicarboxylic acid",12.8,1224935,80821,0,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,2-Heptyl-3-hydroxy-quinolone,1.64,262402032,11863274,0,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,2-Heptyl-3-hydroxy-quinolone,1.65,231337328,10395654,1888214,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,2-Heptyl-3-hydroxy-quinolone,2.14,57909,34626,0,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,2-Heptyl-3-hydroxy-quinolone,2.59,27201,21926,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,2-Heptyl-3-hydroxy-quinolone,1.65,887005568,37516012,13859430,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,2-Heptyl-3-hydroxy-quinolone,1.64,536899072,22207040,5622939,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,2-Heptyl-3-hydroxy-quinolone,1.65,5218198,267852,0,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,2-Heptyl-3-hydroxy-quinolone,1.63,6199657,344771,0,S,Std,NA
240108_Std_H2OinSynMatrix_1,2-Heptyl-3-hydroxy-quinolone,2.07,56442,49224,0,S,Std,NA
240108_Std_H2OinSynMatrix_2,2-Heptyl-3-hydroxy-quinolone,2.25,47306,22240,0,S,Std,NA
240108_Poo_Syn_Full1,2-Heptyl-3-hydroxy-quinolone,1.88,413910,78881,0,S,Poo,NA
240108_Poo_Syn_Full2,2-Heptyl-3-hydroxy-quinolone,1.91,70210,51937,0,S,Poo,NA
240108_Poo_Syn_Full3,2-Heptyl-3-hydroxy-quinolone,1.87,221263,56184,0,S,Poo,NA
240108_Poo_Syn_Half1,2-Heptyl-3-hydroxy-quinolone,1.95,66309,35534,0,S,Poo,NA
240108_Poo_Syn_Half2,2-Heptyl-3-hydroxy-quinolone,2.26,81561,32463,0,S,Poo,NA
240108_Poo_Syn_Half3,2-Heptyl-3-hydroxy-quinolone,2.29,21911,10937,0,S,Poo,NA
240108_Smp_25ppt_A,2-Heptyl-3-hydroxy-quinolone,1.96,207480,57727,0,S,Smp,25
240108_Smp_25ppt_B,2-Heptyl-3-hydroxy-quinolone,1.96,319337,54898,0,S,Smp,25
240108_Smp_25ppt_Blk,2-Heptyl-3-hydroxy-quinolone,1.99,67759,65342,0,S,Smp,25
240108_Smp_30ppt_A,2-Heptyl-3-hydroxy-quinolone,2,51050,40177,0,S,Smp,30
240108_Smp_30ppt_B,2-Heptyl-3-hydroxy-quinolone,1.89,88398,76200,0,S,Smp,30
240108_Smp_30ppt_Blk,2-Heptyl-3-hydroxy-quinolone,1.94,65233,57019,0,S,Smp,30
240108_Smp_35ppt_A,2-Heptyl-3-hydroxy-quinolone,1.89,203656,102306,0,S,Smp,35
240108_Smp_35ppt_B,2-Heptyl-3-hydroxy-quinolone,1.95,56136,57237,0,S,Smp,35
240108_Smp_35ppt_Blk,2-Heptyl-3-hydroxy-quinolone,1.87,116957,85329,0,S,Smp,35
240108_Smp_40ppt_A,2-Heptyl-3-hydroxy-quinolone,1.84,130827,70448,0,S,Smp,40
240108_Smp_40ppt_B,2-Heptyl-3-hydroxy-quinolone,1.89,329845,67022,0,S,Smp,40
240108_Smp_40ppt_Blk,2-Heptyl-3-hydroxy-quinolone,1.92,331375,69677,0,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,2-O-alpha-D-Glucosylglycerol,9.75,0,0,0,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,2-O-alpha-D-Glucosylglycerol,9.78,0,0,0,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,2-O-alpha-D-Glucosylglycerol,10.31,7422168,657059,0,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,2-O-alpha-D-Glucosylglycerol,10.28,10601727,962364,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,2-O-alpha-D-Glucosylglycerol,9.92,158247328,11056241,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,2-O-alpha-D-Glucosylglycerol,9.92,168579344,11266888,1672746,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,2-O-alpha-D-Glucosylglycerol,9.89,160473568,11252561,0,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,2-O-alpha-D-Glucosylglycerol,9.92,162572288,11091118,0,S,Std,NA
240108_Std_H2OinSynMatrix_1,2-O-alpha-D-Glucosylglycerol,9.9,148390800,10004908,360552,S,Std,NA
240108_Std_H2OinSynMatrix_2,2-O-alpha-D-Glucosylglycerol,9.92,143225216,10163528,563434,S,Std,NA
240108_Poo_Syn_Full1,2-O-alpha-D-Glucosylglycerol,9.92,263818816,18149542,3595579,S,Poo,NA
240108_Poo_Syn_Full2,2-O-alpha-D-Glucosylglycerol,9.95,220632400,13621031,138170,S,Poo,NA
240108_Poo_Syn_Full3,2-O-alpha-D-Glucosylglycerol,9.92,228898832,15126170,3185889,S,Poo,NA
240108_Poo_Syn_Half1,2-O-alpha-D-Glucosylglycerol,9.89,128754080,8933046,155936,S,Poo,NA
240108_Poo_Syn_Half2,2-O-alpha-D-Glucosylglycerol,9.9,116111832,8266396,368934,S,Poo,NA
240108_Poo_Syn_Half3,2-O-alpha-D-Glucosylglycerol,9.89,122245224,8432580,0,S,Poo,NA
240108_Smp_25ppt_A,2-O-alpha-D-Glucosylglycerol,9.94,44027364,3025989,0,S,Smp,25
240108_Smp_25ppt_B,2-O-alpha-D-Glucosylglycerol,9.94,44368340,3097416,0,S,Smp,25
240108_Smp_25ppt_Blk,2-O-alpha-D-Glucosylglycerol,9.66,0,0,0,S,Smp,25
240108_Smp_30ppt_A,2-O-alpha-D-Glucosylglycerol,9.95,140942704,10219252,97661,S,Smp,30
240108_Smp_30ppt_B,2-O-alpha-D-Glucosylglycerol,9.92,189540896,13058266,1077397,S,Smp,30
240108_Smp_30ppt_Blk,2-O-alpha-D-Glucosylglycerol,9.69,0,0,0,S,Smp,30
240108_Smp_35ppt_A,2-O-alpha-D-Glucosylglycerol,9.95,362659168,23239608,4120031,S,Smp,35
240108_Smp_35ppt_B,2-O-alpha-D-Glucosylglycerol,9.92,289994720,19645474,4735890,S,Smp,35
240108_Smp_35ppt_Blk,2-O-alpha-D-Glucosylglycerol,9.77,0,0,0,S,Smp,35
240108_Smp_40ppt_A,2-O-alpha-D-Glucosylglycerol,9.9,498312000,34070344,7418997,S,Smp,40
240108_Smp_40ppt_B,2-O-alpha-D-Glucosylglycerol,9.9,455907200,30183584,4560785,S,Smp,40
240108_Smp_40ppt_Blk,2-O-alpha-D-Glucosylglycerol,9.68,0,0,0,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,4-Aminobutyric acid,11.97,37078136,1550655,92582656,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,4-Aminobutyric acid,10.75,79425152,4312233,203593872,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,4-Aminobutyric acid,12.11,613788224,48674168,128902784,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,4-Aminobutyric acid,12.04,853299136,63812184,137388640,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,4-Aminobutyric acid,10.96,276907936,7209488,110112904,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,4-Aminobutyric acid,10.9,380629024,10412204,162499680,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,4-Aminobutyric acid,12.04,1101794560,90233904,133114688,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,4-Aminobutyric acid,12,1221666944,101065984,201114944,S,Std,NA
240108_Std_H2OinSynMatrix_1,4-Aminobutyric acid,10.87,164886400,5473190,149410608,S,Std,NA
240108_Std_H2OinSynMatrix_2,4-Aminobutyric acid,10.82,346049952,8370977,155646400,S,Std,NA
240108_Poo_Syn_Full1,4-Aminobutyric acid,11.09,228448752,5137562,70975416,S,Poo,NA
240108_Poo_Syn_Full2,4-Aminobutyric acid,11.04,167003776,6134332,43932792,S,Poo,NA
240108_Poo_Syn_Full3,4-Aminobutyric acid,11.04,191872032,7722650,54422952,S,Poo,NA
240108_Poo_Syn_Half1,4-Aminobutyric acid,10.87,194612768,5949773,149301568,S,Poo,NA
240108_Poo_Syn_Half2,4-Aminobutyric acid,10.77,274905120,6615282,150994544,S,Poo,NA
240108_Poo_Syn_Half3,4-Aminobutyric acid,10.78,369292960,8339107,166412784,S,Poo,NA
240108_Smp_25ppt_A,4-Aminobutyric acid,11.48,277661632,6008295,74595288,S,Smp,25
240108_Smp_25ppt_B,4-Aminobutyric acid,10.94,136548912,5525142,46916804,S,Smp,25
240108_Smp_25ppt_Blk,4-Aminobutyric acid,11.5,615067200,6832952,118185784,S,Smp,25
240108_Smp_30ppt_A,4-Aminobutyric acid,11.07,147824208,5927397,46774900,S,Smp,30
240108_Smp_30ppt_B,4-Aminobutyric acid,11.06,150320112,6118314,44214272,S,Smp,30
240108_Smp_30ppt_Blk,4-Aminobutyric acid,11.53,611842112,6211312,118154864,S,Smp,30
240108_Smp_35ppt_A,4-Aminobutyric acid,11.04,171011728,6564326,47932976,S,Smp,35
240108_Smp_35ppt_B,4-Aminobutyric acid,11.07,161987984,5979044,49194228,S,Smp,35
240108_Smp_35ppt_Blk,4-Aminobutyric acid,11.5,642780864,7224870,106141496,S,Smp,35
240108_Smp_40ppt_A,4-Aminobutyric acid,11.16,129680368,5481770,33926088,S,Smp,40
240108_Smp_40ppt_B,4-Aminobutyric acid,11.1,139491168,6525390,34898492,S,Smp,40
240108_Smp_40ppt_Blk,4-Aminobutyric acid,11.62,696195008,6636072,108951760,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,5-Hydroxyectoine,11.76,311341,38004,0,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,5-Hydroxyectoine,11.54,399755,69839,0,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,5-Hydroxyectoine,11.44,211027920,17207694,5838578,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,5-Hydroxyectoine,11.44,321621440,26462934,9706706,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,5-Hydroxyectoine,11.62,79315,41966,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,5-Hydroxyectoine,11.59,775493,87554,0,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,5-Hydroxyectoine,11.45,297130912,25328064,10967053,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,5-Hydroxyectoine,11.48,344380288,29506188,13108526,S,Std,NA
240108_Std_H2OinSynMatrix_1,5-Hydroxyectoine,11.57,332012,62388,0,S,Std,NA
240108_Std_H2OinSynMatrix_2,5-Hydroxyectoine,11.59,1173272,93607,0,S,Std,NA
240108_Poo_Syn_Full1,5-Hydroxyectoine,11.65,346761,85025,0,S,Poo,NA
240108_Poo_Syn_Full2,5-Hydroxyectoine,11.56,673504,78308,0,S,Poo,NA
240108_Poo_Syn_Full3,5-Hydroxyectoine,11.59,1384965,93604,0,S,Poo,NA
240108_Poo_Syn_Half1,5-Hydroxyectoine,11.59,549185,63855,0,S,Poo,NA
240108_Poo_Syn_Half2,5-Hydroxyectoine,11.59,372858,57757,0,S,Poo,NA
240108_Poo_Syn_Half3,5-Hydroxyectoine,11.53,1079528,78509,0,S,Poo,NA
240108_Smp_25ppt_A,5-Hydroxyectoine,11.73,294615,51083,0,S,Smp,25
240108_Smp_25ppt_B,5-Hydroxyectoine,11.65,572428,80609,0,S,Smp,25
240108_Smp_25ppt_Blk,5-Hydroxyectoine,11.82,290071,62060,0,S,Smp,25
240108_Smp_30ppt_A,5-Hydroxyectoine,11.76,418333,63554,0,S,Smp,30
240108_Smp_30ppt_B,5-Hydroxyectoine,11.77,202034,55269,0,S,Smp,30
240108_Smp_30ppt_Blk,5-Hydroxyectoine,11.74,591111,62912,0,S,Smp,30
240108_Smp_35ppt_A,5-Hydroxyectoine,11.59,767790,141481,0,S,Smp,35
240108_Smp_35ppt_B,5-Hydroxyectoine,11.6,542373,80740,0,S,Smp,35
240108_Smp_35ppt_Blk,5-Hydroxyectoine,11.69,366711,55509,0,S,Smp,35
240108_Smp_40ppt_A,5-Hydroxyectoine,11.59,912610,78996,0,S,Smp,40
240108_Smp_40ppt_B,5-Hydroxyectoine,11.73,336949,46294,260486,S,Smp,40
240108_Smp_40ppt_Blk,5-Hydroxyectoine,11.73,666162,66303,0,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,5-Methylcytosine,5.61,845882,101789,462281,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,5-Methylcytosine,5.54,2755138,278671,6315,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,5-Methylcytosine,6.19,4406282752,181366304,67555864,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,5-Methylcytosine,6.22,8618733568,360473536,93301536,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,5-Methylcytosine,5.51,751615,181391,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,5-Methylcytosine,5.56,1078421,259023,0,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,5-Methylcytosine,6.44,2216532224,100333600,19541528,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,5-Methylcytosine,6.43,2308718848,112335280,51249948,S,Std,NA
240108_Std_H2OinSynMatrix_1,5-Methylcytosine,5.55,778659,149960,0,S,Std,NA
240108_Std_H2OinSynMatrix_2,5-Methylcytosine,5.55,2130712,767673,0,S,Std,NA
240108_Poo_Syn_Full1,5-Methylcytosine,5.55,664430,138230,0,S,Poo,NA
240108_Poo_Syn_Full2,5-Methylcytosine,5.55,327760,97613,762618,S,Poo,NA
240108_Poo_Syn_Full3,5-Methylcytosine,5.56,728978,214737,0,S,Poo,NA
240108_Poo_Syn_Half1,5-Methylcytosine,5.47,2646103,133038,0,S,Poo,NA
240108_Poo_Syn_Half2,5-Methylcytosine,5.46,2009516,1303357,698859,S,Poo,NA
240108_Poo_Syn_Half3,5-Methylcytosine,5.61,611072,155141,0,S,Poo,NA
240108_Smp_25ppt_A,5-Methylcytosine,5.57,1022758,141758,0,S,Smp,25
240108_Smp_25ppt_B,5-Methylcytosine,5.67,1609528,203014,0,S,Smp,25
240108_Smp_25ppt_Blk,5-Methylcytosine,5.45,472542,91673,965906,S,Smp,25
240108_Smp_30ppt_A,5-Methylcytosine,5.52,1807942,169726,0,S,Smp,30
240108_Smp_30ppt_B,5-Methylcytosine,5.48,1576925,1107058,749887,S,Smp,30
240108_Smp_30ppt_Blk,5-Methylcytosine,5.54,161124,41679,640473,S,Smp,30
240108_Smp_35ppt_A,5-Methylcytosine,5.4,2352389,1107637,756125,S,Smp,35
240108_Smp_35ppt_B,5-Methylcytosine,5.57,649875,129438,0,S,Smp,35
240108_Smp_35ppt_Blk,5-Methylcytosine,5.51,589103,115054,1095836,S,Smp,35
240108_Smp_40ppt_A,5-Methylcytosine,5.39,1536931,163621,0,S,Smp,40
240108_Smp_40ppt_B,5-Methylcytosine,5.33,3209418,251845,0,S,Smp,40
240108_Smp_40ppt_Blk,5-Methylcytosine,5.53,768813,519697,370409,S,Smp,40
240108_Std_4uMStdsMix1InH2O_1,Acetylcholine,13.31,762835,50809,675199,S,Std,NA
240108_Std_4uMStdsMix1InH2O_2,Acetylcholine,13.27,458616,86609,0,S,Std,NA
240108_Std_4uMStdsMix2InH2O_1,Acetylcholine,13.24,603158,53429,1624369,S,Std,NA
240108_Std_4uMStdsMix2InH2O_2,Acetylcholine,13.55,2090873,235231,1809613,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_1,Acetylcholine,13,132733,77458,0,S,Std,NA
240108_Std_4uMStdsMix1InSynMatrix_2,Acetylcholine,13.33,87681,23522,551267,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_1,Acetylcholine,13.97,2069312,178566,4232826,S,Std,NA
240108_Std_4uMStdsMix2InSynMatrix_2,Acetylcholine,12.8,107180448,2237064,9268702,S,Std,NA
240108_Std_H2OinSynMatrix_1,Acetylcholine,NA,NA,NA,NA,S,Std,NA
240108_Std_H2OinSynMatrix_2,Acetylcholine,13.33,327834,58264,0,S,Std,NA
240108_Poo_Syn_Full1,Acetylcholine,13.35,323345,59396,174509,S,Poo,NA
240108_Poo_Syn_Full2,Acetylcholine,NA,NA,NA,NA,S,Poo,NA
240108_Poo_Syn_Full3,Acetylcholine,13.41,203147,56199,0,S,Poo,NA
240108_Poo_Syn_Half1,Acetylcholine,NA,NA,NA,NA,S,Poo,NA
240108_Poo_Syn_Half2,Acetylcholine,13.37,223512,44717,0,S,Poo,NA
240108_Poo_Syn_Half3,Acetylcholine,13.33,571367,54075,0,S,Poo,NA
240108_Smp_25ppt_A,Acetylcholine,13.16,90042,42147,0,S,Smp,25
240108_Smp_25ppt_B,Acetylcholine,13.13,63537,20760,0,S,Smp,25
240108_Smp_25ppt_Blk,Acetylcholine,13.07,0,0,0,S,Smp,25
240108_Smp_30ppt_A,Acetylcholine,13.15,86852,45350,0,S,Smp,30
240108_Smp_30ppt_B,Acetylcholine,13.18,34801,29286,0,S,Smp,30
240108_Smp_30ppt_Blk,Acetylcholine,13.11,48714,40742,0,S,Smp,30
240108_Smp_35ppt_A,Acetylcholine,13.06,38008,37611,0,S,Smp,35
240108_Smp_35ppt_B,Acetylcholine,13.26,283634,67213,0,S,Smp,35
240108_Smp_35ppt_Blk,Acetylcholine,13.19,144935,55737,0,S,Smp,35
240108_Smp_40ppt_A,Acetylcholine,13.27,455656,75029,0,S,Smp,40
240108_Smp_40ppt_B,Acetylcholine,13.32,225886,41708,0,S,Smp,40
